"","Date","Year-to-date Burned Area (ha)"
"1","2016-09-30",1387933
"2","2016-09-29",1387933
"3","2016-09-28",1387925
"4","2016-09-27",1387924
"5","2016-09-26",1387924
"6","2016-09-25",1387924
"7","2016-09-24",1387924
"8","2016-09-23",1387924
"9","2016-09-22",1387924
"10","2016-09-21",1387924
"11","2016-09-20",1387779
"12","2016-09-19",1387779
"13","2016-09-18",1387779
"14","2016-09-17",1387779
"15","2016-09-16",1387779
"16","2016-09-15",1387116
"17","2016-09-14",1386790
"18","2016-09-13",1386708
"19","2016-09-12",1385689
"20","2016-09-11",1385326
"21","2016-09-10",1385326
"22","2016-09-09",1385326
"23","2016-09-08",1385326
"24","2016-09-07",1385326
"25","2016-09-06",1385326
"26","2016-09-05",1385313
"27","2016-09-04",1385313
"28","2016-09-03",1385313
"29","2016-09-02",1385313
"30","2016-09-01",1385313
"31","2016-08-31",1384475
"32","2016-08-30",1384475
"33","2016-08-29",1384475
"34","2016-08-28",1384475
"35","2016-08-27",1384475
"36","2016-08-26",1384465
"37","2016-08-25",1384462
"38","2016-08-24",1383877
"39","2016-08-23",1380707
"40","2016-08-22",1377177
"41","2016-08-21",1375755
"42","2016-08-20",1375633
"43","2016-08-19",1375390
"44","2016-08-18",1374695
"45","2016-08-17",1374145
"46","2016-08-16",1372612
"47","2016-08-15",1370705
"48","2016-08-14",1369946
"49","2016-08-13",1367820
"50","2016-08-12",1366694
"51","2016-08-11",1365239
"52","2016-08-10",1364204
"53","2016-08-09",1359766
"54","2016-08-08",1354785
"55","2016-08-07",1353176
"56","2016-08-06",1352921
"57","2016-08-05",1352803
"58","2016-08-04",1350610
"59","2016-08-03",1345268
"60","2016-08-02",1341693
"61","2016-08-01",1340737
"62","2016-07-31",1339390
"63","2016-07-30",1338461
"64","2016-07-29",1334261
"65","2016-07-28",1326943
"66","2016-07-27",1314338
"67","2016-07-26",1304175
"68","2016-07-25",1285354
"69","2016-07-24",1284379
"70","2016-07-23",1281247
"71","2016-07-22",1278582
"72","2016-07-21",1276815
"73","2016-07-20",1276815
"74","2016-07-19",1274891
"75","2016-07-18",1262895
"76","2016-07-17",1246952
"77","2016-07-16",1221787
"78","2016-07-15",1190763
"79","2016-07-14",1144514
"80","2016-07-13",1127815
"81","2016-07-12",1121177
"82","2016-07-11",1108753
"83","2016-07-10",1103998
"84","2016-07-09",1097496
"85","2016-07-08",1094577
"86","2016-07-07",1091957
"87","2016-07-06",1090707
"88","2016-07-05",1085850
"89","2016-07-04",1067840
"90","2016-07-03",1029128
"91","2016-07-02",983184
"92","2016-07-01",931829
"93","2016-06-30",895640
"94","2016-06-29",870543
"95","2016-06-28",846074
"96","2016-06-27",835559
"97","2016-06-26",829051
"98","2016-06-25",823964
"99","2016-06-24",821716
"100","2016-06-23",820326
"101","2016-06-22",817877
"102","2016-06-21",815849
"103","2016-06-20",799717
"104","2016-06-19",786715
"105","2016-06-18",784905
"106","2016-06-17",784905
"107","2016-06-16",784585
"108","2016-06-15",784585
"109","2016-06-14",784531
"110","2016-06-13",784531
"111","2016-06-12",784530
"112","2016-06-11",784407
"113","2016-06-10",784407
"114","2016-06-09",784146
"115","2016-06-08",784146
"116","2016-06-07",779288
"117","2016-06-06",773425
"118","2016-06-05",771702
"119","2016-06-04",771702
"120","2016-06-03",771312
"121","2016-06-02",771207
"122","2016-06-01",771207
"123","2016-05-31",771207
"124","2016-05-30",771207
"125","2016-05-29",771207
"126","2016-05-28",771207
"127","2016-05-27",771207
"128","2016-05-26",771207
"129","2016-05-25",766475
"130","2016-05-24",757480
"131","2016-05-23",726221
"132","2016-05-22",707316
"133","2016-05-21",704464
"134","2016-05-20",704464
"135","2016-05-19",690980
"136","2016-05-18",675498
"137","2016-05-17",625496
"138","2016-05-16",567434
"139","2016-05-15",442869
"140","2016-05-14",415189
"141","2016-05-13",363282
"142","2016-05-12",344380
"143","2016-05-11",332189
"144","2016-05-10",326382
"145","2016-05-09",322751
"146","2016-05-08",297039
"147","2016-05-07",270161
"148","2016-05-06",236857
"149","2016-05-05",132248
"150","2016-05-04",56830
"151","2016-05-03",38188
"152","2016-05-02",33641
"153","2016-05-01",29018
"154","2017-09-30",3768009
"155","2017-09-29",3767439
"156","2017-09-28",3767168
"157","2017-09-27",3766830
"158","2017-09-26",3766655
"159","2017-09-25",3765722
"160","2017-09-24",3765099
"161","2017-09-23",3760533
"162","2017-09-22",3760244
"163","2017-09-21",3760091
"164","2017-09-20",3760013
"165","2017-09-19",3759962
"166","2017-09-18",3758036
"167","2017-09-17",3755661
"168","2017-09-16",3754226
"169","2017-09-15",3751252
"170","2017-09-14",3748704
"171","2017-09-13",3746310
"172","2017-09-12",3739022
"173","2017-09-11",3670168
"174","2017-09-10",3647597
"175","2017-09-09",3625280
"176","2017-09-08",3586394
"177","2017-09-07",3501081
"178","2017-09-06",3467884
"179","2017-09-05",3432769
"180","2017-09-04",3423378
"181","2017-09-03",3406763
"182","2017-09-02",3369830
"183","2017-09-01",3343893
"184","2017-08-31",3303488
"185","2017-08-30",3254807
"186","2017-08-29",3181799
"187","2017-08-28",3103879
"188","2017-08-27",3063491
"189","2017-08-26",3047910
"190","2017-08-25",3031612
"191","2017-08-24",3015445
"192","2017-08-23",2999218
"193","2017-08-22",2981335
"194","2017-08-21",2970173
"195","2017-08-20",2961571
"196","2017-08-19",2946260
"197","2017-08-18",2923896
"198","2017-08-17",2879270
"199","2017-08-16",2833230
"200","2017-08-15",2784731
"201","2017-08-14",2713112
